Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#loc+area,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (1),current,2023-08-01,2023-09-30,all,23437,1.0
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (1),current,2023-08-01,2023-09-30,3+,2343,0.1
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (1),current,2023-08-01,2023-09-30,1,11718,0.5
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (1),current,2023-08-01,2023-09-30,2,9374,0.4
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (1),current,2023-08-01,2023-09-30,3,2343,0.1
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (1),current,2023-08-01,2023-09-30,4,0,0
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (1),current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (1),projected,2023-10-01,2023-12-31,all,23437,1.0
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (1),projected,2023-10-01,2023-12-31,3+,12890,0.55
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (1),projected,2023-10-01,2023-12-31,1,7031,0.3
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (1),projected,2023-10-01,2023-12-31,2,3515,0.15
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (1),projected,2023-10-01,2023-12-31,3,5859,0.25
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (1),projected,2023-10-01,2023-12-31,4,7031,0.3
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (1),projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Lower Juba,Jamaame (2),current,2023-08-01,2023-09-30,all,132068,1.0
Aug 2023,SOM,16955266,Lower Juba,Jamaame (2),current,2023-08-01,2023-09-30,3+,19810,0.15
Aug 2023,SOM,16955266,Lower Juba,Jamaame (2),current,2023-08-01,2023-09-30,1,85844,0.65
Aug 2023,SOM,16955266,Lower Juba,Jamaame (2),current,2023-08-01,2023-09-30,2,26413,0.2
Aug 2023,SOM,16955266,Lower Juba,Jamaame (2),current,2023-08-01,2023-09-30,3,19810,0.15
Aug 2023,SOM,16955266,Lower Juba,Jamaame (2),current,2023-08-01,2023-09-30,4,0,0
Aug 2023,SOM,16955266,Lower Juba,Jamaame (2),current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Lower Juba,Jamaame (2),projected,2023-10-01,2023-12-31,all,132068,1.0
Aug 2023,SOM,16955266,Lower Juba,Jamaame (2),projected,2023-10-01,2023-12-31,3+,33017,0.25
Aug 2023,SOM,16955266,Lower Juba,Jamaame (2),projected,2023-10-01,2023-12-31,1,59430,0.45
Aug 2023,SOM,16955266,Lower Juba,Jamaame (2),projected,2023-10-01,2023-12-31,2,39620,0.3
Aug 2023,SOM,16955266,Lower Juba,Jamaame (2),projected,2023-10-01,2023-12-31,3,33017,0.25
Aug 2023,SOM,16955266,Lower Juba,Jamaame (2),projected,2023-10-01,2023-12-31,4,0,0
Aug 2023,SOM,16955266,Lower Juba,Jamaame (2),projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Lower Juba,Badhaadhe (1),current,2023-08-01,2023-09-30,all,11589,1.0
Aug 2023,SOM,16955266,Lower Juba,Badhaadhe (1),current,2023-08-01,2023-09-30,3+,1158,0.1
Aug 2023,SOM,16955266,Lower Juba,Badhaadhe (1),current,2023-08-01,2023-09-30,1,9271,0.8
Aug 2023,SOM,16955266,Lower Juba,Badhaadhe (1),current,2023-08-01,2023-09-30,2,1158,0.1
Aug 2023,SOM,16955266,Lower Juba,Badhaadhe (1),current,2023-08-01,2023-09-30,3,1158,0.1
Aug 2023,SOM,16955266,Lower Juba,Badhaadhe (1),current,2023-08-01,2023-09-30,4,0,0
